,tx_price,beds,baths,sqft,tx_age,year_built,lot_size,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,ins*proptax,property_tax^2,property_var,property_tax,insurance^2,insurance_var,insurance,median_school,num_schools,tx_year,property_type_Apartment / Condo / Townhouse,property_type_Single-Family,exterior_walls_Asbestos shingle,exterior_walls_Block,exterior_walls_Brick,exterior_walls_Brick veneer,exterior_walls_Combination,exterior_walls_Concrete,exterior_walls_Concrete Block,exterior_walls_Masonry,exterior_walls_Metal,exterior_walls_Other,"exterior_walls_Rock, Stone",exterior_walls_Siding (Alum/Vinyl),exterior_walls_Stucco,exterior_walls_Wood,exterior_walls_Wood Shingle,exterior_walls_Wood Siding,roof_Asbestos,roof_asphalt,roof_Asphalt,"roof_asphalt,shake-shingle",roof_Built-up,roof_composition,roof_Composition,roof_Composition Shingle,roof_Gravel/Rock,roof_Metal,roof_Other,roof_Roll Composition,roof_Shake Shingle,roof_shake-shingle,roof_Slate,roof_Wood Shake/ Shingles
39,-1.405603468,2,1,-1.0245108,-0.05423106,0.297483863,1820,1,6,2,0,0,4,0,4,1,36,62,63,-1.558364269,-0.410844568,1.082827126,-1.082827126,-0.395995759,1.021172086,-1.021172086,7.5,2,0.940902548,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,-1.405603468,2,1,-0.862163032,0.087532595,-0.392492346,0,1,78,18,15,15,70,6,45,30,45,47,54,-1.51932175,-0.407658105,1.065555606,-1.065555606,-0.393449873,1.007456621,-1.007456621,3,3,-1.176307064,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,-1.405603468,4,2,-0.402801145,0.323805354,-0.786764466,14810,1,16,3,1,1,24,3,6,15,41,80,55,0.087713082,-0.145571518,0.124257723,-0.124257723,-0.140775447,0.102235935,-0.102235935,5,3,-1.753727867,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,-1.405603468,4,3,1.109950866,-0.243249268,-0.293924317,12196,1,11,6,0,3,12,0,3,6,37,85,72,0.361948881,-0.055610577,-0.104589928,0.104589928,-0.048683275,-0.130926969,0.130926969,3,3,-2.138675069,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,-1.400089091,2,2,-0.704304143,-1.0938312,0.543903938,0,1,56,7,9,6,67,6,40,41,36,36,90,-0.304912142,-0.276090434,0.517184821,-0.517184821,-0.203733491,0.280536979,-0.280536979,9,3,-2.33114867,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,-1.399527748,4,3,-0.623504332,-0.57403113,0.346767878,1551,1,59,4,9,5,77,3,46,9,34,61,30,-1.610017752,-0.407658105,1.065555606,-1.065555606,-0.405796464,1.076033945,-1.076033945,4,3,-0.983833463,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,-1.395697402,3,2,-0.741711462,0.98536908,-0.786764466,0,1,74,5,8,12,89,11,34,30,61,38,66,-1.938002442,-0.434231453,1.220999293,-1.220999293,-0.419349001,1.158326735,-1.158326735,7,3,0.940902548,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,-1.39239538,3,2,-0.535223057,1.174387287,-1.082468556,7013,1,5,2,0,1,4,0,2,4,31,68,17,-0.836738362,-0.249999441,0.430827217,-0.430827217,-0.380146181,0.938879296,-0.938879296,3,3,0.555955346,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,-1.39239538,3,3,-0.934733232,-0.479522027,0.248199848,1995,1,18,1,3,0,8,1,8,5,41,62,85,-0.774183576,-0.328345505,0.707171549,-0.707171549,-0.317360415,0.664569997,-0.664569997,6,2,-0.983833463,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,-1.39239538,4,3,-0.492578713,0.371059906,-0.885332496,12196,1,21,5,2,1,17,1,13,8,44,77,56,0.273006309,-0.085584159,-0.031185964,0.031185964,-0.082449767,-0.048634179,0.048634179,9,3,-1.946201468,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
